"table","long_name","units","comment","questions_and_notes","output_variable_name","standard_name","unconfirmed_or_proposed_standard_name","unformatted_units","cell_methods","valid_min","valid_max","mean_absolute_min","mean_absolute_max","positive","type","CMOR_dimensions","CMOR_variable_name","realm","frequency","cell_measures","flag_values","flag_meanings"
"Amon","Near-Surface Specific Humidity",1,,"Normally, the specific humidity should be reported at the 2 meter height","huss","specific_humidity",,1,"time: mean",,,,,,"real","longitude latitude time height2m","huss","atmos",,"area: areacella",,
"Amon","Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective)",,"pr","precipitation_flux",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","pr","atmos",,"area: areacella",,
"Amon","Snowfall Flux","kg m-2 s-1","at surface; includes precipitation of all forms of water in the solid phase",,"prsn","snowfall_flux",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","prsn","atmos",,"area: areacella",,
"Amon","Convective Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases.",,"prc","convective_precipitation_flux",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","prc","atmos",,"area: areacella",,
"Amon","Evaporation","kg m-2 s-1","at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)",,"evspsbl","water_evaporation_flux",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","evspsbl","atmos",,"area: areacella",,
"Amon","Surface Snow and Ice Sublimation Flux","kg m-2 s-1","The snow and ice sublimation flux is the loss of snow and ice mass from the surface resulting from their conversion to water vapor that enters the atmosphere.","This differs from sbl appearing in table Limon in that the flux is averaged over the entire grid cell, not just the land portion.","sbl","surface_snow_and_ice_sublimation_flux",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","sbl","atmos",,"area: areacella",,
"Amon","Surface Downward Eastward Wind Stress","Pa",,,"tauu","surface_downward_eastward_stress",,"Pa","time: mean",,,,,"down","real","longitude latitude time","tauu","atmos",,,,
"Amon","Surface Downward Northward Wind Stress","Pa",,,"tauv","surface_downward_northward_stress",,"Pa","time: mean",,,,,"down","real","longitude latitude time","tauv","atmos",,,,
"Amon","Surface Upward Latent Heat Flux","W m-2","includes both evaporation and sublimation",,"hfls","surface_upward_latent_heat_flux",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","hfls","atmos",,"area: areacella",,
"Amon","Surface Upward Sensible Heat Flux","W m-2",,,"hfss","surface_upward_sensible_heat_flux",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","hfss","atmos",,"area: areacella",,
"Amon","Surface Downwelling Longwave Radiation","W m-2",,,"rlds","surface_downwelling_longwave_flux_in_air",,"W m-2","time: mean",,,,,"down","real","longitude latitude time","rlds","atmos",,"area: areacella",,
"Amon","Surface Upwelling Longwave Radiation","W m-2",,,"rlus","surface_upwelling_longwave_flux_in_air",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rlus","atmos",,"area: areacella",,
"Amon","Surface Downwelling Shortwave Radiation","W m-2",,,"rsds","surface_downwelling_shortwave_flux_in_air",,"W m-2","time: mean",,,,,"down","real","longitude latitude time","rsds","atmos",,"area: areacella",,
"Amon","Surface Upwelling Shortwave Radiation","W m-2",,,"rsus","surface_upwelling_shortwave_flux_in_air",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rsus","atmos",,"area: areacella",,
"Amon","Surface Downwelling Clear-Sky Shortwave Radiation","W m-2",,,"rsdscs","surface_downwelling_shortwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"down","real","longitude latitude time","rsdscs","atmos",,"area: areacella",,
"Amon","Surface Upwelling Clear-Sky Shortwave Radiation","W m-2",,,"rsuscs","surface_upwelling_shortwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rsuscs","atmos",,"area: areacella",,
"Amon","Surface Downwelling Clear-Sky Longwave Radiation","W m-2",,,"rldscs","surface_downwelling_longwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"down","real","longitude latitude time","rldscs","atmos",,"area: areacella",,
"Amon","TOA Incident Shortwave Radiation","W m-2","at the top of the atmosphere",,"rsdt","toa_incoming_shortwave_flux",,"W m-2","time: mean",,,,,"down","real","longitude latitude time","rsdt","atmos",,"area: areacella",,
"Amon","TOA Outgoing Shortwave Radiation","W m-2","at the top of the atmosphere",,"rsut","toa_outgoing_shortwave_flux",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rsut","atmos",,"area: areacella",,
"Amon","TOA Outgoing Longwave Radiation","W m-2","at the top of the atmosphere (to be compared with satellite measurements)",,"rlut","toa_outgoing_longwave_flux",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rlut","atmos",,"area: areacella",,
"Amon","TOA Outgoing Clear-Sky Longwave Radiation","W m-2",,,"rlutcs","toa_outgoing_longwave_flux_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rlutcs","atmos",,"area: areacella",,
"Amon","TOA Outgoing Clear-Sky Shortwave Radiation","W m-2",,,"rsutcs","toa_outgoing_shortwave_flux_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rsutcs","atmos",,"area: areacella",,
"Amon","Water Vapor Path","kg m-2","vertically integrated through the atmospheric column",,"prw","atmosphere_water_vapor_content",,"kg m-2","time: mean",,,,,,"real","longitude latitude time","prw","atmos",,"area: areacella",,
"Amon","Total Cloud Fraction","%","for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.",,"clt","cloud_area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time","clt","atmos",,"area: areacella",,
"Amon","Condensed Water Path","kg m-2","mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.",,"clwvi","atmosphere_cloud_condensed_water_content",,"kg m-2","time: mean",,,,,,"real","longitude latitude time","clwvi","atmos",,"area: areacella",,
"Amon","Ice Water Path","kg m-2","mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.",,"clivi","atmosphere_cloud_ice_content",,"kg m-2","time: mean",,,,,,"real","longitude latitude time","clivi","atmos",,"area: areacella",,
"Amon","Net Downward Flux at Top of Model","W m-2","i.e., at the top of that portion of the atmosphere where dynamics are explicitly treated by the model. This is reported only if it differs from the net downward radiative flux at the top of the atmosphere.",,"rtmt","net_downward_radiative_flux_at_top_of_atmosphere_model",,"W m-2","time: mean",,,,,"down","real","longitude latitude time","rtmt","atmos",,"area: areacella",,
"Amon","Air Pressure at Convective Cloud Base","Pa",,,"ccb","air_pressure_at_convective_cloud_base",,"Pa","time: mean",,,,,,"real","longitude latitude time","ccb","atmos",,"area: areacella",,
"Amon","Air Pressure at Convective Cloud Top","Pa",,,"cct","air_pressure_at_convective_cloud_top",,"Pa","time: mean",,,,,,"real","longitude latitude time","cct","atmos",,"area: areacella",,
"Amon","Fraction of Time Convection Occurs",1,"Fraction of time that convection occurs in the grid cell .",,"ci","convection_time_fraction",,1,"time: mean",,,,,,"real","longitude latitude time","ci","atmos",,"area: areacella",,
"Amon","Fraction of Time Shallow Convection Occurs",1,"Fraction of time that shallow convection occurs in the grid cell.","For models with a distinct shallow convection scheme only.","sci","shallow_convection_time_fraction",,1,"time: mean",,,,,,"real","longitude latitude time","sci","atmos",,"area: areacella",,
"Amon","Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2","kg  m-2 s-1","This is requested only for the emission-driven coupled carbon climate model runs.  Does not include natural fire sources but, includes all anthropogenic sources, including fossil fuel use, cement production, agricultural burning, and sources associated with anthropogenic land use change excluding forest regrowth.",,"fco2antt","tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission",,"kg  m-2 s-1","time: mean",,,,,"up","real","longitude latitude time","fco2antt","atmos",,"area: areacella",,
"Amon","Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2","kg m-2 s-1","This is the prescribed anthropogenic CO2 flux from fossil fuel use, including cement production, and flaring (but not from land-use changes, agricultural burning, forest regrowth, etc.)","This is requested only for the emission-driven coupled carbon climate model runs.","fco2fos","tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion",,"kg m-2 s-1","time: mean",,,,,"up","real","longitude latitude time","fco2fos","atmos",,"area: areacella",,
"Amon","Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources","kg m-2 s-1"," This is what the atmosphere sees (on its own grid).  This field should be equivalent to the combined natural fluxes of carbon (requested in the L_mon and O_mon tables) that account for natural exchanges between the atmosphere and land or ocean reservoirs (i.e., ""net ecosystem biospheric productivity"", for land, and ""air to sea CO2 flux"", for ocean.)","Report from all simulations (both emission-driven and concentration-driven) performed by models with fully interactive and responsive carbon cycles.","fco2nat","surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources",,"kg m-2 s-1","time: mean",,,,,"up","real","longitude latitude time","fco2nat","atmos",,"area: areacella",,
"Amon","Cloud Area Fraction","%"," Includes both large-scale and convective cloud.","Report on model layers (not standard pressures).","cl","cloud_area_fraction_in_atmosphere_layer",,"%","time: mean",,,,,,"real","longitude latitude alevel time","cl","atmos",,"area: areacella",,
"Amon","Mass Fraction of Cloud Liquid Water",1,"Includes both large-scale and convective cloud.  Calculate as the mass of cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cells. Precipitating hydrometeors are included ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.","Report on model layers (not standard pressures).","clw","mass_fraction_of_cloud_liquid_water_in_air",,1,"time: mean",,,,,,"real","longitude latitude alevel time","clw","atmos",,"area: areacella",,
"Amon","Mass Fraction of Cloud Ice",1,"Includes both large-scale and convective cloud.  This is calculated as the mass of cloud ice in the grid cell divided by the mass of air (including the water in all phases) in the grid cell. It includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.","Report on model layers (not standard pressures).","cli","mass_fraction_of_cloud_ice_in_air",,1,"time: mean",,,,,,"real","longitude latitude alevel time","cli","atmos",,"area: areacella",,
"Amon","Convective Mass Flux","kg m-2 s-1","The net mass flux should represent the difference between the updraft and downdraft components.  The flux is computed as the mass divided by the area of the grid cell.","Report on model half-levels (i.e., model layer bounds and not standard pressures).","mc","atmosphere_net_upward_convective_mass_flux",,"kg m-2 s-1","time: mean",,,,,"up","real","longitude latitude alevhalf time","mc","atmos",,"area: areacella",,
"Amon","Air Temperature","K",,,"ta","air_temperature",,"K","time: mean",,,,,,"real","longitude latitude plevs time","ta","atmos",,"area: areacella",,
"Amon","Eastward Wind","m s-1",,,"ua","eastward_wind",,"m s-1","time: mean",,,,,,"real","longitude latitude plevs time","ua","atmos",,,,
"Amon","Northward Wind","m s-1",,,"va","northward_wind",,"m s-1","time: mean",,,,,,"real","longitude latitude plevs time","va","atmos",,,,
"Amon","Specific Humidity",1,,,"hus","specific_humidity",,1,"time: mean",,,,,,"real","longitude latitude plevs time","hus","atmos",,"area: areacella",,
"Amon","Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",,"hur","relative_humidity",,"%","time: mean",,,,,,"real","longitude latitude plevs time","hur","atmos",,"area: areacella",,
"Amon","omega (=dp/dt)","Pa s-1","commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)",,"wap","lagrangian_tendency_of_air_pressure",,"Pa s-1","time: mean",,,,,,"real","longitude latitude plevs time","wap","atmos",,"area: areacella",,
"Amon","Geopotential Height","m",,,"zg","geopotential_height",,"m","time: mean",,,,,,"real","longitude latitude plevs time","zg","atmos",,"area: areacella",,
"Amon","Mole Fraction of O3","1e-9",,"If this does not change over time (except possibly to vary identically over each annual cycle), report instead the variable described in the next table entry.  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","tro3","mole_fraction_of_ozone_in_air",,"1e-9","time: mean",,,,,,"real","longitude latitude plevs time","tro3","atmos atmosChem",,"area: areacella",,
"Amon","Mole Fraction of O3","1e-9",,"If O3 does not vary from one year to the next, report 12 months, starting with January.   (Note: include all 12 months even if the values don't vary seasonally.)  When calling CMOR, identify this variable as tro3Clim, not tro3. If the O3 varies from one year to the next,  then report instead the field described in the previous table entry.  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","tro3","mole_fraction_of_ozone_in_air",,"1e-9","time: mean within years time: mean over years",,,,,,"real","longitude latitude plevs time2","tro3Clim","atmos atmosChem","monClim","area: areacella",,
"Amon","Mole Fraction of CO2","1e-6",,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If spatially uniform, omit this field, but report Total Atmospheric Mass of CO2 (see the table entry after the next one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","co2","mole_fraction_of_carbon_dioxide_in_air",,"1e-6","time: mean",,,,,,"real","longitude latitude plevs time","co2","atmos",,"area: areacella",,
"Amon","Mole Fraction of CO2","1e-6",,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the CO2 does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values don't vary seasonally.  When calling CMOR, identify this variable as co2Clim, not co2.   If  CO2 is spatially uniform, omit this field, but report Total Atmospheric Mass of CO2 (see the table entry after the next).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","co2","mole_fraction_of_carbon_dioxide_in_air",,"1e-6","time: mean within years time: mean over years",,,,,,"real","longitude latitude plevs time2","co2Clim","atmos","monClim","area: areacella",,
"Amon","Total Atmospheric Mass of CO2","kg",,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If CO2 is spatially nonuniform, omit this field, but report Mole Fraction of CO2 (see the table entry before the previous one).","co2mass","atmosphere_mass_of_carbon_dioxide",,"kg","time: mean",,,,,,"real","time","co2mass","atmos",,,,
"Amon","Total Atmospheric Mass of CO2","kg",,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the CO2 does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values don't vary seasonally.  When calling CMOR, identify this variable as co2massClim, not co2mass.  If CO2 is spatially nonuniform, omit this field, but report Mole Fraction of CO2 (see the table entry before the previous one).","co2mass","atmosphere_mass_of_carbon_dioxide",,"kg","time: mean within years time: mean over years",,,,,,"real","time2","co2massClim","atmos","monClim",,,
"Amon","Mole Fraction of CH4","1e-9",,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If CH4 is spatially uniform, omit this field, but report Global Mean Mole Fraction of CH4 (see the table entry after the next one).   Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","ch4","mole_fraction_of_methane_in_air",,"1e-9","time: mean",,,,,,"real","longitude latitude plevs time","ch4","atmos atmosChem",,"area: areacella",,
"Amon","Mole Fraction of CH4","1e-9",,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the CH4 does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values don't vary seasonally.  When calling CMOR, identify this variable as ch4global, not ch4.   If  CH4 is spatially uniform, omit this field, but report Global Mean Mole Fraction of CH4 (see the table entry after the next).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","ch4","mole_fraction_of_methane_in_air",,"1e-9","time: mean within years time: mean over years",,,,,,"real","longitude latitude plevs time2","ch4Clim","atmos atmosChem","monClim","area: areacella",,
"Amon","Global Mean Mole Fraction of CH4","1e-9",,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If CH4 is spatially nonuniform, omit this field, but report Mole Fraction of CH4 (see the table entry before the previous one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","ch4global","mole_fraction_of_methane_in_air",,"1e-9","time: mean",,,,,,"real","time","ch4global","atmos atmosChem",,,,
"Amon","Global Mean Mole Fraction of CH4","1e-9",,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the CH4 does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values don't vary seasonally.  When calling CMOR, identify this variable as ch4globalClim, not ch4global.  If CH4 is spatially nonuniform, omit this field, but report Global Mean Mole Fraction of CH4 (see the table entry before the previous one).   Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","ch4global","mole_fraction_of_methane_in_air",,"1e-9","time: mean within years time: mean over years",,,,,,"real","time2","ch4globalClim","atmos atmosChem","monClim",,,
"Amon","Mole Fraction of N2O","1e-9",,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If N2O is spatially uniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry after the next one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","n2o","mole_fraction_of_nitrous_oxide_in_air",,"1e-9","time: mean",,,,,,"real","longitude latitude plevs time","n2o","atmos atmosChem",,"area: areacella",,
"Amon","Mole Fraction of N2O","1e-9",,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the N2O does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values don't vary seasonally.  When calling CMOR, identify this variable as n2oglobal, not n2o.   If  N2O is spatially uniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry after the next).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","n2o","mole_fraction_of_nitrous_oxide_in_air",,"1e-9","time: mean within years time: mean over years",,,,,,"real","longitude latitude plevs time2","n2oClim","atmos atmosChem","monClim","area: areacella",,
"Amon","Global Mean Mole Fraction of N2O","1e-9",,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If N2O is spatially nonuniform, omit this field, but report Mole Fraction of N2O (see the table entry before the previous one).   Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","n2oglobal","mole_fraction_of_nitrous_oxide_in_air",,"1e-9","time: mean",,,,,,"real","time","n2oglobal","atmos atmosChem",,,,
"Amon","Global Mean Mole Fraction of N2O","1e-9",,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the N2O does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values don't vary seasonally.  When calling CMOR, identify this variable as ch4globalClim, not ch4global.  If N2O is spatially nonuniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry before the previous one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?","n2oglobal","mole_fraction_of_nitrous_oxide_in_air",,"1e-9","time: mean within years time: mean over years",,,,,,"real","time2","n2oglobalClim","atmos atmosChem","monClim",,,
"Amon","Global Mean Mole Fraction of CFC11","1e-12",,,"cfc11global","mole_fraction_of_cfc11_in_air",,"1e-12","time: mean",,,,,,"real","time","cfc11global","atmos atmosChem",,,,
"Amon","Global Mean Mole Fraction of CFC12","1e-12",,,"cfc12global","mole_fraction_of_cfc12_in_air",,"1e-12","time: mean",,,,,,"real","time","cfc12global","atmos atmosChem",,,,
"Amon","Global Mean Mole Fraction of HCFC22","1e-12",,,"hcfc22global","mole_fraction_of_hcfc22_in_air",,"1e-12","time: mean",,,,,,"real","time","hcfc22global","atmos atmosChem",,,,
"Amon","Global Mean Mole Fraction of CFC113","1e-12",,,"cfc113global","mole_fraction_of_cfc113_in_air",,"1e-12","time: mean",,,,,,"real","time","cfc113global","atmos atmosChem",,,,
"Amon","Pressure on Model Levels","Pa",,,"pfull","air_pressure",,"Pa","time: mean within years time: mean over years",,,,,,"real","longitude latitude alevel time2","pfull","atmos","monClim","area: areacella",,
"Amon","Pressure on Model Half-Levels","Pa",,,"phalf","air_pressure",,"Pa","time: mean within years time: mean over years",,,,,,"real","longitude latitude alevhalf time2","phalf","atmos","monClim","area: areacella",,
"Amon","Bias-Corrected Near-Surface Air Temperature","K",,"normally, the temperature should be reported at the 2 meter height","tasAdjust","air_temperature",,"K","time: mean",,,,,,"real","longitude latitude time height2m","tasAdjust","atmos",,"area: areacella",,
"Amon","Bias-Corrected Surface Temperature","K","""skin"" temperature (i.e., SST for open ocean)",,"tsAdjust","surface_temperature",,"K","time: mean",,,,,,"real","longitude latitude time","tsAdjust","atmos",,"area: areacella",,
"Amon","Bias-Corrected Sea Level Pressure","Pa","not, in general, the same as surface pressure",,"pslAdjust","air_pressure_at_sea_level",,"Pa","time: mean",,,,,,"real","longitude latitude time","pslAdjust","atmos",,"area: areacella",,
"Amon","Bias-Corrected Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective)",,"prAdjust","precipitation_flux",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","prAdjust","atmos",,"area: areacella",,
"Oclim","Ocean Vertical Heat Diffusivity","m2 s-1",,,"difvho","ocean_vertical_heat_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difvho","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Vertical Salt Diffusivity","m2 s-1",,,"difvso","ocean_vertical_salt_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difvso","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Vertical Tracer Diffusivity due to Background","m2 s-1",,,"difvtrbo","ocean_vertical_tracer_diffusivity_due_to_background",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difvtrbo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Vertical Tracer Diffusivity due to Tides","m2 s-1",,,"difvtrto","ocean_vertical_tracer_diffusivity_due_to_tides",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difvtrto","ocean",,"area: areacello volume: volcello",,
"Oclim","Tendency of Ocean Potential Energy Content","W m-2",,,"tnpeo","tendency_of_ocean_potential_energy_content",,"W m-2","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","tnpeo","ocean",,"area: areacello volume: volcello",,
"Oclim","Tendency of Ocean Potential Energy Content due to Tides","W m-2",,,"tnpeot","tendency_of_ocean_potential_energy_content_due_to_tides",,"W m-2","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","tnpeot","ocean",,"area: areacello volume: volcello",,
"Oclim","Tendency of Ocean Potential Energy Content due to Background","W m-2",,,"tnpeotb","tendency_of_ocean_potential_energy_content_due_to_background",,"W m-2","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","tnpeotb","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Vertical Momentum Diffusivity","m2 s-1",,,"difvmo","ocean_vertical_momentum_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difvmo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Vertical Momentum Diffusivity due to Background","m2 s-1",,,"difvmbo","ocean_vertical_momentum_diffusivity_due_to_background",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difvmbo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Vertical Momentum Diffusivity due to Tides","m2 s-1",,,"difvmto","ocean_vertical_momentum_diffusivity_due_to_tides",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difvmto","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Vertical Momentum Diffusivity due to Form Drag","m2 s-1",,,"difvmfdo","ocean_vertical_momentum_diffusivity_due_to_form_drag",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difvmfdo","ocean",,"area: areacello volume: volcello",,
